Allele,D8S1179,D21S11,D7S820,CSF1PO,D3S1358,TH01,D13S317,D16S539,D2S1338,D19S433,vWA,TPOX,D18S51,D5S818,FGA
5,,,,,,4,,,,,,,,,
6,,,,,,603,,,,,,,,,
7,1,,8,27,,720,3,1,,,,1,,7,
8,,,342,3,,179,721,5,,,,1227,,18,
9,2,,123,126,,1076,348,955,,,,308,,232,
9.1,,,1,,,,,,,,,,,,
9.2,,,,,,,,,,1,,,,,
9.3,,,,,,94,,,,,,,,,
10,358,,591,603,,24,310,531,,,,83,6,542,
10.1,,,1,,,,,,,,,,,,
10.2,,,,,,,,,,3,,,,,
10.3,,,2,,,,,,,,,,,,
11,294,,887,561,,,597,505,,10,,980,12,789,
11.2,,,,,,,,,,2,,,,,
12,331,,634,1130,5,,546,482,,109,,96,129,635,
12.2,,,,,,,,,,14,,,,,
13,607,,94,186,2,,138,196,,776,1,3,538,450,
13.2,,,,,,,,,,81,,,,,
14,553,,16,48,78,,35,22,,944,524,2,600,24,
14.2,,,,,,,,,,238,,,,,
15,363,,1,14,1069,,2,3,,137,72,,454,3,
15.2,,,,,,,,,,310,,,,,
16,173,,,2,827,,,,23,14,497,,339,,
16.2,,,,,,,,,,52,,,,,
17,17,,,,539,,,,263,,763,,220,,9
17.1,,,,,,,,,,,,,1,,
17.2,,,,,,,,,,8,,,,,
18,1,,,,171,,,,429,1,609,,130,,58
19,,,,,8,,,,564,,199,,98,,181
20,,,,,,,,,285,,27,,59,,240
21,,,,,1,,,,40,,7,,42,,353
22,,,,,,,,,136,,1,,35,,544
22.2,,,,,,,,,,,,,,,5
23,,,,,,,,,396,,,,20,,554
23.2,,,,,,,,,,,,,,,13
24,,,,,,,,,291,,,,10,,424
24.2,,,,,,,,,,,,,,,3
25,,,,,,,,,166,,,,4,,198
25.2,,,,,,,,,,,,,,,5
26,,,,,,,,,78,,,,2,,86
27,,3,,,,,,,23,,,,1,,21
28,,114,,,,,,,6,,,,,,6
28.2,,13,,,,,,,,,,,,,
29,,666,,,,,,,,,,,,,
30,,910,,,,,,,,,,,,,
30.2,,12,,,,,,,,,,,,,
30.3,,3,,,,,,,,,,,,,
31,,279,,,,,,,,,,,,,
31.2,,192,,,,,,,,,,,,,
32,,52,,,,,,,,,,,,,
32.2,,321,,,,,,,,,,,,,
33,,7,,,,,,,,,,,,,
33.1,,6,,,,,,,,,,,,,
33.2,,109,,,,,,,,,,,,,
34,,2,,,,,,,,,,,,,
34.2,,11,,,,,,,,,,,,,
